text_length,sum_votes
4970,7
4949,21
4948,0
4892,7
4781,2
4666,84
4454,2
4442,3
4406,16
4352,22
4129,2
4112,0
4013,3
3938,9
3873,3
3854,1
3831,12
3689,164
3621,0
3603,3
3597,5
3586,14
3553,1
3502,204
3482,17
3439,9
3431,45
3388,0
3377,0
3366,11
3321,5
3317,71
3175,0
3140,6
3138,2
3080,30
3063,7
2998,2
2987,23
2916,2
2876,7
2876,1
2870,0
2863,1
2842,1
2833,1
2822,1
2818,6
2811,3
2798,0
2789,3
2780,6
2768,3
2751,36
2724,8
2703,12
2699,0
2697,5
2674,0
2666,1
2652,4
2626,10
2625,0
2622,1
2622,1
2618,0
2606,6
2604,5
2601,0
2558,15
2508,5
2484,8
2477,2
2476,2
2460,13
2454,6
2420,1
2417,3
2417,2
2395,11
2378,0
2335,1
2333,0
2331,0
2318,4
2274,45
2274,0
2266,7
2266,0
2263,8
2259,22
2247,0
2240,3
2240,0
2235,1
2233,3
2209,17
2207,8
2207,0
2206,8
2198,3
2194,0
2193,0
2179,3
2178,0
2162,3
2160,20
2160,1
2157,4
2150,0
2143,0
2130,2
2130,1
2128,2
2127,4
2105,3
2099,20
2097,1
2095,3
2078,9
2074,1
2056,1
2052,1
2049,7
2046,0
2041,0
2040,23
2036,0
2036,0
2029,1
2010,0
2008,0
1995,23
1991,2
1985,31
1985,8
1974,0
1971,6
1971,0
1970,17
1970,2
1969,1
1966,1
1954,4
1945,1
1942,25
1930,4
1929,0
1928,0
1925,5
1922,0
1919,2
1914,7
1904,5
1898,4
1897,11
1890,0
1884,3
1883,29
1883,2
1879,1
1875,1
1869,1
1862,22
1858,4
1856,3
1855,3
1854,1
1852,0
1851,6
1847,0
1842,9
1839,13
1836,2
1835,0
1835,0
1834,2
1828,0
1826,0
1825,3
1823,0
1818,1
1815,255
1810,2
1806,7
1803,0
1798,3
1798,3
1797,16
1795,3
1790,0
1787,6
1786,5
1784,0
1778,7
1778,6
1776,2
1774,11
1772,12
1771,22
1769,0
1765,1
1762,1
1761,5
1757,7
1755,0
1753,0
1753,0
1751,1
1746,4
1742,0
1740,2
1737,5
1736,2
1733,7
1730,1
1730,1
1718,30
1717,0
1716,0
1715,18
1713,0
1710,0
1704,0
1700,2
1696,1
1696,0
1694,1
1692,2
1691,1
1690,0
1688,0
1688,0
1684,2
1682,8
1682,3
1680,0
1678,8
1675,7
1670,2
1668,0
1667,0
1661,4
1659,0
1656,27
1655,2
1652,0
1644,1
1643,0
1641,5
1639,18
1639,4
1636,0
1632,0
1631,16
1626,5
1626,1
1623,84
1621,3
1621,0
1614,13
1614,1
1608,2
1606,3
1601,8
1596,0
1594,3
1591,1
1586,2
1579,17
1578,2
1577,0
1572,0
1571,1
1570,2
1570,0
1565,0
1560,15
1560,2
1559,0
1547,90
1546,0
1545,0
1544,1
1542,0
1541,6
1540,7
1539,4
1538,0
1537,9
1533,0
1532,4
1532,2
1532,0
1531,3
1528,1
1523,19
1522,111
1522,5
1515,3
1513,4
1513,3
1512,17
1512,1
1510,6
1509,8
1508,0
1506,1
1504,1
1501,0
1499,0
1498,3
1498,1
1497,0
1496,1
1496,0
1495,0
1495,0
1494,9
1492,19
1487,2
1481,0
1477,0
1477,0
1476,22
1474,20
1474,5
1473,4
1472,1
1472,0
1472,0
1471,10
1471,7
1471,6
1468,2
1466,0
1465,0
1463,0
1461,6
1456,0
1455,0
1453,2
1451,7
1451,3
1450,0
1450,0
1447,0
1441,29
1436,25
1436,2
1434,1
1431,0
1430,6
1429,0
1428,5
1423,1
1422,5
1419,3
1418,12
1415,7
1415,6
1415,1
1410,3
1409,16
1407,0
1405,0
1402,0
1400,14
1400,0
1399,21
1398,4
1397,0
1395,1
1394,11
1393,0
1392,0
1391,54
1391,6
1391,3
1391,1
1390,1
1390,0
1388,2
1387,26
1387,4
1385,0
1380,0
1377,2
1375,7
1375,0
1373,1
1370,4
1370,0
1366,0
1365,0
1364,3
1364,0
1363,1
1363,1
1363,0
1363,0
1361,1
1359,2
1358,1
1357,0
1356,3
1354,3
1352,0
1351,4
1350,0
1349,0
1348,0
1348,0
1347,0
1345,20
1344,1
1343,0
1342,1
1340,0
1336,2
1333,2
1332,1
1332,1
1331,1
1329,0
1329,0
1328,3
1328,0
1327,10
1327,2
1326,8
1326,0
1322,0
1321,0
1319,6
1317,6
1317,2
1317,1
1315,0
1311,6
1310,3
1310,1
1309,12
1309,6
1309,1
1309,0
1306,5
1305,0
1304,4
1303,0
1302,6
1301,7
1300,1
1299,1
1299,0
1298,0
1297,3
1297,2
1296,0
1295,1
1294,3
1293,1
1293,0
1291,3
1291,0
1286,0
1284,0
1284,0
1283,2
1282,10
1282,0
1281,4
1281,0
1280,9
1278,2
1278,1
1278,0
1277,9
1277,0
1276,0
1275,1
1275,0
1273,15
1273,8
1273,3
1272,3
1270,0
1267,1
1266,0
1265,1
1265,0
1264,3
1263,0
1262,0
1261,6
1258,0
1257,2
1256,11
1256,1
1256,0
1256,0
1255,27
1253,10
1253,1
1252,0
1251,10
1251,2
1251,0
1251,0
1246,2
1246,1
1246,0
1243,0
1243,0
1242,0
1240,9
1240,2
1240,0
1237,1
1235,2
1235,0
1235,0
1234,1
1233,4
1231,0
1228,0
1227,4
1225,0
1224,3
1224,0
1223,0
1223,0
1223,0
1220,1
1219,3
1219,0
1218,14
1218,0
1217,5
1216,2
1216,0
1214,3
1214,0
1213,3
1213,1
1213,0
1212,1
1212,0
1212,0
1211,3
1211,0
1210,3
1209,6
1208,7
1207,4
1207,3
1204,2
1204,0
1203,0
1201,1
1200,0
1199,1
1197,14
1197,3
1197,1
1195,1
1194,5
1193,3
1193,3
1192,3
1192,1
1191,15
1191,1
1191,0
1189,0
1188,4
1188,4
1187,4
1187,3
1186,3
1186,1
1185,11
1185,0
1184,0
1184,0
1182,0
1182,0
1180,7
1178,0
1177,4
1177,1
1177,0
1176,2
1176,0
1175,8
1174,0
1173,6
1173,3
1173,0
1172,7
1172,1
1172,0
1171,0
1170,8
1170,1
1169,1
1167,1
1166,4
1166,3
1166,0
1165,4
1165,1
1164,1
1164,0
1163,0
1162,14
1161,4
1159,0
1158,7
1158,6
1158,2
1158,0
1156,0
1155,2
1153,0
1152,1
1151,0
1150,1
1149,2
1149,0
1147,3
1147,2
1146,4
1145,0
1143,2
1142,2
1142,0
1140,5
1140,0
1139,0
1139,0
1138,3
1138,2
1138,0
1136,5
1135,10
1135,0
1134,0
1134,0
1133,9
1132,0
1132,0
1131,10
1131,0
1129,0
1128,6
1128,3
1127,0
1126,0
1122,7
1122,0
1121,2
1120,2
1120,1
1119,128
1119,2
1117,1
1116,1
1115,0
1114,0
1113,1
1110,4
1109,0
1109,0
1107,2
1106,0
1105,0
1105,0
1104,1
1104,0
1103,2
1102,30
1102,2
1102,2
1099,0
1098,7
1098,0
1096,2
1096,0
1095,4
1095,0
1095,0
1094,0
1092,0
1091,3
1090,1
1090,1
1090,0
1090,0
1088,2
1088,0
1088,0
1086,0
1085,5
1085,0
1084,8
1083,0
1083,0
1081,0
1080,12
1080,0
1079,64
1079,4
1079,1
1078,8
1078,0
1075,7
1075,5
1074,11
1074,1
1074,0
1072,3
1071,10
1071,5
1071,0
1070,1
1070,0
1069,29
1068,176
1068,1
1067,44
1067,0
1066,4
1066,3
1066,1
1066,1
1066,0
1065,3
1064,2
1063,13
1063,3
1063,2
1062,3
1062,2
1059,1
1059,0
1059,0
1058,3
1058,0
1056,1
1055,5
1055,0
1054,2
1053,1
1053,0
1053,0
1051,0
1050,10
1050,0
1050,0
1048,22
1048,0
1047,66
1047,0
1046,3
1046,0
1046,0
1046,0
1046,0
1044,6
1044,1
1044,0
1042,0
1041,0
1041,0
1040,0
1039,10
1038,2
1038,1
1036,0
1035,3
1035,2
1032,0
1030,72
1030,36
1029,5
1029,1
1028,3
1027,3
1027,0
1027,0
1026,1
1026,0
1024,50
1023,2
1023,0
1022,0
1021,0
1020,0
1020,0
1020,0
1019,6
1019,0
1018,2
1017,11
1017,4
1017,0
1016,1
1015,4
1015,0
1015,0
1014,8
1014,0
1013,1
1013,1
1012,0
1011,0
1010,3
1009,0
1008,0
1007,29
1006,3
1006,1
1005,2
1005,0
1005,0
1002,2
1002,0
1002,0
1001,2
1000,2
1000,0
999,0
997,3
997,1
995,0
994,18
994,2
994,1
993,0
992,5
991,1
991,1
990,6
990,1
990,1
988,7
987,0
985,0
984,2
984,2
984,0
982,0
981,0
980,0
980,0
979,4
979,0
979,0
978,6
977,0
976,2
975,2
975,1
975,1
975,0
975,0
974,2
974,1
973,0
971,0
970,1
969,3
968,4
968,0
967,2
967,0
966,0
964,3
964,0
964,0
964,0
963,0
962,1
962,0
962,0
962,0
961,14
961,5
960,9
960,3
959,17
959,5
959,0
957,4
957,0
956,0
955,1
955,0
954,0
953,5
953,2
953,1
953,0
952,0
952,0
952,0
951,1
949,41
949,5
949,1
949,0
949,0
948,0
948,0
948,0
948,0
947,3
947,0
946,3
944,5
942,8
942,5
942,1
942,0
942,0
941,4
941,0
940,4
940,3
940,0
939,0
939,0
939,0
938,6
938,0
937,16
937,1
935,5
933,2
933,2
932,0
929,9
929,1
929,0
927,3
927,0
926,59
926,1
926,0
924,5
924,0
924,0
923,10
923,10
922,6
922,1
922,0
921,0
921,0
921,0
920,8
920,1
919,20
919,1
919,0
917,1
916,14
916,0
915,1
914,1
913,1
912,1
912,0
911,1
911,0
910,0
909,1
909,0
908,1
908,0
907,0
906,1
905,3
905,2
905,1
904,4
904,1
904,0
904,0
903,6
903,0
903,0
902,0
901,3
901,2
901,2
901,1
901,0
901,0
901,0
900,7
900,2
899,1
899,0
899,0
898,5
897,0
896,0
895,0
895,0
894,2
894,1
893,6
893,1
893,0
893,0
892,2
892,1
892,1
892,0
892,0
892,0
891,20
891,0
891,0
890,0
889,4
889,2
888,6
888,0
886,4
886,3
886,3
886,1
886,1
885,3
885,0
885,0
885,0
884,1
884,0
883,9
883,1
883,0
883,0
882,1
882,0
882,0
881,2
881,0
880,2
880,1
880,0
880,0
879,33
878,3
878,1
878,1
878,1
878,0
878,0
877,1
877,0
876,0
875,5
875,2
874,0
873,6
873,3
873,1
873,1
873,0
872,3
870,3
869,6
869,0
869,0
869,0
868,4
867,1
867,0
866,19
866,5
866,1
866,0
866,0
865,1
865,0
864,3
864,0
864,0
863,4
863,0
862,0
862,0
862,0
861,4
861,2
861,2
861,1
861,0
861,0
860,3
859,4
859,2
859,0
859,0
858,4
858,4
858,3
858,3
858,0
857,0
